ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,Date,Genome_coverage,Assembly_method,Sequencing_technology,Assembly_type,Assembly_level,scaffold_N50,scaffold_count,total_length,gene_count,gene_length_mean,exon_count,exon_length_mean,CDS_count,CDS_length_mean,intron_count,intron_length_mean,softmasked_percent,GC_percent
GCA_029232285.1_Ca_Agmasoma_carcini_1,2984836,Agmasoma sp. JBojko-2022a,v1,Microsporidia,,,,,Thelohaniidae,Agmasoma,Agmasoma sp. JBojko-2022a,2023-03-17,15.0x,SPAdes v. 3.15.3,Illumina NovaSeq,haploid,Contig,,,4264503,0,0,0,0,0,0,0,0,31.36,26.30
GCA_004114255.1_ASM411425v1,1172177,Acaulopage tetraceros,T-All,Zoopagomycota,,Zoopagomycetes,,Zoopagales,Zoopagaceae,Acaulopage,Acaulopage tetraceros,2019-01-25,10x,SPAdes v. 3.9.0,Illumina HiSeq,haploid,Scaffold,53277,515,11176780,0,0,0,0,0,0,0,0,10.21,44.43
GCA_030579395.1_ASM3057939v1,43968,Aciculoconidium aculeatum,NRRL YB-4298,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Aciculoconidium,Aciculoconidium aculeatum,2023-07-31,144.534352589x,SPADES v. 3.7,Illumina HiSeq,haploid,Scaffold,260810,515,17953185,0,0,0,0,0,0,0,0,15.08,37.91
GCA_004216415.1_S18-22,2518135,Aeminium ludgeri,E14,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Aeminiaceae,Aeminium,Aeminium ludgeri,2019-02-20,400.0x,dipSPADES v. 3.11.1,Illumina NextSeq,haploid,Scaffold,181365,228,22585551,0,0,0,0,0,0,0,0,12.58,58.57
GCA_019670975.1_ASM1967097v1,1176733,Acidiella bohemica,SYSU C17045,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidiella,Acidiella bohemica,2021-08-18,150.0x,FALCON v. 2018; FALCON-Unzip v. 2018,Illumina MiSeq; PacBio Sequel,haploid,Contig,,,26833561,0,0,0,0,0,0,0,0,8.71,56.88
GCA_003545705.1_ASM354570v1,245562,Acidomyces sp. 'richmondensis',FRIK2901,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',2018-09-11,150.0x,Canu v. 1.6,PacBio; Illumina NextSeq,haploid,Contig,,,29347235,0,0,0,0,0,0,0,0,8.95,49.45
GCA_000300575.2_ASM30057v2,936046,Agaricus bisporus var. bisporus H97,H97,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,2016-07-15,8.50x,Arachne v. 20071016_modified v. 2012/11/30,Sanger dideoxy sequencing; Reconstructed using linkage maps,haploid,Chromosome,2550681,13,30417844,0,0,0,0,0,0,0,0,9.70,46.30
GCA_002718315.1_ASM271831v1,2607230,Agaricales sp. HM26-F1,HM26-F1,Basidiomycota,,Agaricomycetes,,Agaricales,,,Agaricales sp. HM26-F1,2017-10-25,380.0x,SPAdes v. 3.5.0,PacBio; Illumina HiSeq,haploid,Scaffold,1023127,178,32238363,0,0,0,0,0,0,0,0,7.82,49.40
GCA_025617375.2_glAcaSoci1.1,1307805,Acarospora socialis,JNA_AS_CCGP158,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora socialis,2023-03-31,100.0x,HiFiasm v. 0.16.1-r375; SALSA v. 2; Rapid curation v. https://gitlab.com/wtsi-grit/rapid-curation (commit 4ddca450),PacBio Sequel II; Illumina NovaSeq; Dovetails OmniC,haploid,Scaffold,2402664,38,31172923,0,0,0,0,0,0,0,0,11.57,47.30
GCA_022315185.1_ASM2231518v1,1550288,Agaricus sinodeliciosus,ZRL20160001-S65,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus sinodeliciosus,2022-02-17,100.0x,WTDBG v. MAR-2017; PBjelly v. JAN-2017; Pilon v. JUN-2014,PacBio RSII; Illumina HiSeq,haploid,Scaffold,1466131,58,32482119,0,0,0,0,0,0,0,0,14.75,45.87
GCA_030246685.1_ASM3024668v1,5343,Agaricus bitorquis,BH01,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bitorquis,2023-06-08,200.0x,NECAT v. 5.22.1,Oxford Nanopore,haploid,Contig,,,32345193,0,0,0,0,0,0,0,0,15.17,46.05
GCA_026027325.1_ASM2602732v1,64647,Actinomucor elegans,CJ-6,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,2022-11-07,67.35x,SMRT Link v. 5.1.0,Illumina HiSeq; PacBio RSII,haploid,Contig,,,36533736,0,0,0,0,0,0,0,0,15.63,36.36
GCA_020087035.1_ASM2008703v1,2778101,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,Ascomycota,,Sordariomycetes,,Hypocreales,,Acremonium,Acremonium sp. FKII-L8-BK-P5,2021-09-21,100x,CLC NGS Cell v. June-2020,Illumina,haploid,Scaffold,951391,86,34452312,0,0,0,0,0,0,0,0,6.47,50.04
GCA_021347865.1_ASM2134786v1,2666182,Acremonium sp. CBMAI 1973,CBMAI 1973,Ascomycota,,Sordariomycetes,,Hypocreales,,Acremonium,Acremonium sp. CBMAI 1973,2022-01-03,10.31x,Newbler v. 2.5.3,454,haploid,Contig,,,35841001,0,0,0,0,0,0,0,0,5.95,52.62
