ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCF_010015735.1,Aaosphaeria arxii,CBS 175.79,1450171,PRJNA234399,38901049,449405,Aaoar1
GCA_022606235.1,Abortiporus biennis,CIRM-BRFM 1778,137743,PRJNA444028,33118568,721010,Abobie1
GCA_900079185.1,Absidia glauca,CBS 101.48 substr. RVII-324 met-,4829,PRJEB13349,48746359,11176,AG_v1
GCA_019677225.1,Absidia healeyae,UoMAU1,2733465,PRJNA630489,43508936,4223,ASM1967722v1
GCA_002105175.1,Absidia repens,NRRL 1336,90262,PRJNA330702,47422896,1295254,Absrep1
GCA_019677255.1,Absidia sp. UoMAU379,UoMAU379,2735258,PRJNA630491,49417851,2764,ASM1967725v1
GCF_003144295.1,Acaromyces ingoldii,MCA 4198,215250,PRJNA247834,19330111,1252185,Acain1
GCA_022814355.1,Acarospora aff. strigata,T1882,2871812,PRJNA795879,28651879,157971,ASM2281435v1
GCA_004114255.1,Acaulopage tetraceros,T-All,1172177,PRJNA451036,11176780,49495,ASM411425v1
GCA_910592055.1,Acaulospora colombiana,CL356,27376,PRJEB45340,299808427,8208,Acaulospora_colombiana_CL356
GCA_910591835.1,Acaulospora morrowiae,CL551,94023,PRJEB45340,218774155,6189,Acaulospora_morrowiae_CL551
GCA_014904845.1,Acephala macrosclerotiorum,EW76-UTF0540,886606,PRJNA334316,73683338,128081,Acema1
GCA_003707435.1,Aciculoconidium aculeatum,NRRL YB-4298,43968,PRJNA429441,18235016,218239,ASM370743v1
GCA_000222935.2,Aciculosporium take,MAFF-241224,42363,PRJNA67241,58836405,40517,AciTa_1.0
GCA_019670975.1,Acidiella bohemica,SYSU C17045,1176733,PRJNA725650,26833561,1164001,ASM1967097v1
GCA_003545705.1,Acidomyces sp. 'richmondensis',FRIK2901,245562,PRJNA486357,29249537,1214476,ASM354570v1
GCA_000769265.1,Acremonium chrysogenum,ATCC 11550,5044,PRJNA248608,28563214,149473,ASM76926v1
GCA_022814615.1,Acremonium citrinum,FKII-L8-BK-P5,1472694,PRJNA800051,34525570,385360,ASM2281461v1
GCA_021347865.1,Acremonium sp. CBMAI 1973,CBMAI 1973,2666182,PRJNA588795,35841001,87141,ASM2134786v1
GCA_020087035.1,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,2778101,PRJNA644637,34452312,519699,ASM2008703v1
GCA_016098155.1,Actinomortierella ambigua,BC1065,1343610,PRJNA463334,37923144,33511,UCR_MambBC1055_1.0
