ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,ASM_LENGTH,N50,ASM_NAME
GCF_010015735.1,Aaosphaeria arxii CBS 175.79,CBS 175.79,1450172,PRJNA234399,38901049,4421818,Aaoar1
GCA_022813625.1,Aaosphaeria pasadenensis,FJI-L9-BK-P1,3025424,PRJNA800051,38797400,943274,ASM2281362v1
GCA_022606235.1,Abortiporus biennis,CIRM-BRFM 1778,137743,PRJNA444028,33118568,721010,Abobie1
GCA_977092135.1,Absidia cylindrospora,,213030,PRJEB65317;PRJEB95971;PRJNA533106,53713483,6355852,gzAbsCyli1
GCA_900079185.1,Absidia glauca,CBS 101.48 substr. RVII-324 met-,4829,PRJEB13349,48746359,318481,AG_v1
GCA_019677225.1,Absidia healeyae,UoMAU1,2733465,PRJNA630489,43508936,33835,ASM1967722v1
GCA_002105175.1,Absidia repens,NRRL 1336,90262,PRJNA330702,47422896,1295254,Absrep1
GCA_964256675.1,Acanthothecis fontana,,2569847,PRJEB77567,29526551,20211,public_SRR14721923_metabat2_bin.2
GCF_003144295.1,Acaromyces ingoldii,MCA 4198,215250,PRJNA247834,19330111,3164722,Acain1
GCA_025617375.2,Acarospora socialis,JNA_AS_CCGP158,1307805,PRJNA851476,31105086,2402664,glAcaSoci1.1
GCA_004114255.1,Acaulopage tetraceros,T-All,1172177,PRJNA451036,11176780,53277,ASM411425v1
GCA_910592055.1,Acaulospora colombiana,CL356,27376,PRJEB45340,299808427,8208,Acaulospora_colombiana_CL356
GCA_910591835.1,Acaulospora morrowiae,CL551,94023,PRJEB45340,218774155,6189,Acaulospora_morrowiae_CL551
GCA_014904845.1,Acephala macrosclerotiorum,EW76-UTF0540,886606,PRJNA334316,73683338,172550,Acema1
GCA_031001845.1,Achaetomiella virescens,148.68,1934374,PRJNA945858,34258665,197114,ASM3100184v1
GCA_033296875.1,Achaetomium macrosporum,CBS 532.94,79813,PRJNA441724,32434019,76086,Achma1
GCA_030579395.1,Aciculoconidium aculeatum,NRRL YB-4298,43968,PRJNA736342,17953185,260810,ASM3057939v1
GCA_000222935.2,Aciculosporium take MAFF-241224,MAFF-241224,1036760,PRJNA67241,58836405,40517,AciTa_1.0
GCA_019670975.1,Acidiella bohemica,SYSU C17045,1176733,PRJNA725650,26833561,1164001,ASM1967097v1
GCA_054490815.1,Acremonium polychromum,NFCCI 6138,1036751,PRJNA1338585,43163810,5492844,RUAS_VINSTROM
GCA_028476805.1,Acrocalymma vagum,A21,1589764,PRJNA921830,55745741,129927,ASM2847680v1
GCA_033807595.1,Acrodontium crateriforme,169a,150365,PRJNA1034788,23050344,1746009,ASM3380759v1
GCA_016098155.1,Actinomortierella ambigua,BC1065,1343610,PRJNA463334,37923144,48912,UCR_MambBC1055_1.0
GCA_016098105.1,Actinomortierella wolfii,NRRL 6351,90253,PRJNA340479,34232935,93672,UCR_MwolfiiNRRL6351_1.0
GCA_026027325.1,Actinomucor elegans,CJ-6,64647,PRJNA848933,36533736,3043051,ASM2602732v1
GCA_004216415.1,Aeminium ludgeri,E14,2518135,PRJNA520871,22585551,181365,S18-22
GCA_038094355.1,Afroboletus lepidellus,UT-M0000099,3095450,PRJNA1022813,60239942,4823,BD703-Stobilomyces-lepidellus
GCF_000300575.1,Agaricus bisporus var. bisporus H97,H97,936046,PRJNA61005,30233745,2334609,Agabi_varbisH97_2
GCA_030246685.1,Agaricus bitorquis,BH01,5343,PRJNA946023,32345193,2052213,ASM3024668v1
GCA_029719445.1,Agaricus blazei,JA-15036,79798,PRJNA532471,38686133,1826870,ASM2971944v1
GCA_022315185.1,Agaricus sinodeliciosus,ZRL20160001-S65,1550288,PRJNA744025,32482119,1466131,ASM2231518v1
GCA_029945375.1,Agaricus subrufescens,ABL 49,87252,PRJNA926637,44531294,3166853,Asub-V01
GCA_041475395.1,Agroathelia delphinii,SD,180424,PRJNA1031343,72081797,4132461,ASM4147539v1
GCA_018343915.1,Agroathelia rolfsii,GP3,39291,PRJNA635225,37673359,4408868,ASM1834391v1
GCA_027627235.1,Agrocybe chaxingu,MP-N11,84603,PRJNA855555,40343159,18131,Agrocybe_chaxingu_MP-N11_reassembly
GCA_013053245.1,Agrocybe pediades,CBS 102.39,84607,PRJNA496353,45149591,2723584,LU_AGP_1.0
GCA_964017145.1,Agrocybe praecox,,71668,PRJEB40665;PRJEB43510;PRJEB43745;PRJEB63448;PRJEB74180;PRJNA533106,59234987,3782526,gfAgrPrae1.1
GCA_051996675.1,Agrocybe striatipes,ZRL20211296,3018807,PRJNA1223616,62006326,223684,ASM5199667v1
GCA_022814335.1,Agyrium rufum,Spribille 39798,443868,PRJNA795879,28047069,240237,ASM2281433v1
GCA_051529075.1,Akanthomyces attenuatus,MUC8126,2259046,PRJNA1074702,34438778,118580,YNP63
GCA_051527285.1,Akanthomyces dipterigenus,MUC9702,132109,PRJNA1074702,30843273,225208,YNP42
GCA_001636795.1,Akanthomyces lecanii RCEF 1005,RCEF 1005,1081108,PRJNA72733,35594087,3946369,LEL_1.0
GCF_028009165.1,Akanthomyces muscarius,Ve6,2231603,PRJNA777543,36207525,4856708,ASM2800916v1
GCA_030778065.2,Akanthomyces uredinophilus,MBC 350,2487154,PRJNA879330,33406109,126659,ASM3077806v2
GCA_003314395.1,Albatrellus ellisii,MG60,80570,PRJNA454572,122761634,18141,ASM331439v1
GCA_020081605.1,Albifimbria verrucaria,IMI 368023,1859699,PRJNA736674,48482211,5352524,ASM2008160v1
GCA_051623215.1,Albophoma yamanashiensis,EHU_M98,1635095,PRJNA990765,31514761,3368458,EHU_AYaman_Ill_Nano
GCA_043388365.1,Albopleistophora grylli,EB-2024a,3367401,PRJNA1168716,5873605,118557,UoE_Agrylli_1
GCA_905337325.1,Alectoria fallacina,,1903189,PRJEB42325,65236659,75592,GTX0161_lecanoromycete
GCA_964257205.1,Alectoria ochroleuca,,111641,PRJEB77567,40208408,240478,private_VT19_concoct_bin.7
GCA_964255965.1,Alectoria sarmentosa,,111643,PRJEB77567,31580949,120336,private_X12_concoct_bin.4
GCA_024752435.1,Allantophomopsis cytisporea,ATCC 66955,1484957,PRJNA866153,34816014,1994825,ASM2475243v1
GCA_024752465.1,Allantophomopsis lycopodina,ATCC 66958,334518,PRJNA866153,33865253,1918003,ASM2475246v1
GCA_030581615.1,Alloascoidea africana,NRRL Y-6762-3,27309,PRJNA736342,23700382,294430,ASM3058161v1
GCA_001600815.1,Alloascoidea hylecoeti,JCM 7604,54196,PRJDB3556;PRJDB3734,24815695,949999,JCM_7604_assembly_v001
GCA_030565225.1,Allodekkera sacchari,CBS 14167,1936035,PRJNA736342,13278534,138291,ASM3056522v1
GCA_027604705.1,Allomyces arbusculus,Burma 1F,64504,PRJNA581157,26482826,317448,ASM2760470v1
GCA_027604645.1,Allomyces javanicus,California 12,64505,PRJNA581158,29927322,104684,ASM2760464v1
GCA_000151295.1,Allomyces macrogynus ATCC 38327,ATCC 38327,578462,PRJNA167910;PRJNA176382;PRJNA20563;PRJNA71873,57060573,1114524,A_macrogynus_V3
GCA_053542345.1,Alternaria alstroemeriae,L6,1111114,PRJNA1328452,33391749,1176075,ASM5354234v1
GCA_036971565.1,Alternaria alternarina,TB-1129,1281297,PRJNA748521,33307802,1175178,ALTB1129b1.0
GCF_001642055.1,Alternaria alternata,SRC1lrK2f,5599,PRJNA239482,32990834,1097884,Altal1
GCA_022814545.1,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,1187901,PRJNA800051,34215686,1397744,ASM2281454v1
GCF_004154835.1,Alternaria arborescens,FERA 675,156630,PRJNA360212,33943449,862606,ASM415483v1
GCF_024043155.1,Alternaria arbusti,BMP 1465,232088,PRJNA706766,33977964,1678447,ASM2404315v1
GCF_907166805.1,Alternaria atra,CS162,119953,PRJEB42493,39606256,3893166,ALTATR162
GCA_036768465.1,Alternaria brassicae,PNT,29911,PRJNA1071297,33821513,3537936,ASM3676846v1
GCA_977862185.1,Alternaria brassicicola,,29001,PRJEB104865,31024200,2455780,Abra43_GG
GCF_013036055.1,Alternaria burnsii,CBS107.38,1187904,PRJNA600135,32958128,1805719,ASM1303605v1
GCA_047302185.1,Alternaria chlamydospora,SC11,1187911,PRJNA1190708,36398649,3252568,ASM4730218v1
GCF_024043145.1,Alternaria conjuncta,BMP 0040,181017,PRJNA706766,36109959,1896824,ASM2404314v1
GCA_001950455.1,Alternaria consortialis,JCM 1940,230004,PRJDB3556;PRJDB3614,34240857,2769894,JCM_1940_assembly_v001
GCF_042100115.1,Alternaria dauci,A2016,48095,PRJNA991970,34906709,3442401,ASM4210011v1
GCA_037044395.1,Alternaria destruens,LH_A593,230003,PRJNA1025352,35492060,1091695,ASM3704439v1
GCF_023757985.1,Alternaria ethzedia,BMP 0044,181014,PRJNA706766,36016348,863783,ASM2375798v1
GCA_004156025.2,Alternaria gaisen,FERA 650,167740,PRJNA360212,34346950,2110033,ASM415602v2
GCA_009289805.1,Alternaria gansuensis,LYZ1412,644589,PRJNA574205,75051934,163781,ASM928980v1
GCF_023758085.1,Alternaria hordeiaustralica,BMP 2776,1187925,PRJNA706766,36958049,1053854,ASM2375808v1
GCF_024043165.1,Alternaria incomplexa,BMP 0042,1187928,PRJNA706766,33457300,1850413,ASM2404316v1
GCF_024043175.1,Alternaria infectoria,BMP 0036,45303,PRJNA706766,36515125,1572730,ASM2404317v1
GCA_047834895.1,Alternaria linariae,25,1568907,PRJNA1193289,33101064,2993250,ASM4783489v1
GCA_019059555.1,Alternaria longipes,CBS 540.94,160389,PRJNA736258,39426105,3599223,ASM1905955v1
GCF_023757995.1,Alternaria metachromatica,BMP 0045,283354,PRJNA706766,37283841,1012319,ASM2375799v1
GCF_023758075.1,Alternaria novae-zelandiae,BMP 2774,430562,PRJNA706766,37570309,1242974,ASM2375807v1
GCA_040583965.1,Alternaria oregonensis,DAOMC238619,283353,PRJNA612050,33708848,1025028,DAOMC238619_v1
GCA_019702505.1,Alternaria panax,BNCC115425,48097,PRJNA608755,34756390,4172030,ASM1970250v1
GCA_029783965.1,Alternaria porri,Apn-Nashik,48098,PRJNA916367,32989564,2657264,RDWU_Aporii_p.ctg
GCF_024291825.1,Alternaria postmessia,BMP 2775,1187938,PRJNA706766,34409470,300389,ASM2429182v1
GCA_050230835.1,Alternaria radicina,CBR2,119925,PRJNA967848,34644183,6519692,ASM5023083v1
GCF_020736505.1,Alternaria rosae,MPI-PUGE-AT-0040,1187941,PRJNA347188,33831682,3278090,Altro1
GCA_002952155.1,Alternaria solani,NL03003,48100,PRJNA391093,32779142,2866555,ASM295215v1
GCA_041430775.1,Alternaria tenuissima,JgmB 36-2,119927,PRJNA1097852,39993475,2909493,ASM4143077v1
GCF_023758025.1,Alternaria triticimaculans,BMP 0046,297637,PRJNA706766,36788567,1666515,ASM2375802v1
GCA_040583995.1,Alternaria triticina,DAOMC238612,216836,PRJNA612050,34641617,696913,DAOMC238612_v1
GCF_023758065.1,Alternaria ventricosa,BMP 2768,1187951,PRJNA706766,34687354,1329355,ASM2375806v1
GCF_023758015.1,Alternaria viburni,BMP 2772,566460,PRJNA706766,36351886,1053821,ASM2375801v1
GCA_030386735.1,Alternosema astaquatica,1,3037678,PRJNA950224,1517482,2796,Fv_Alternosema1
GCA_026054675.1,Alyxoria varia,Spribille s.n. 20.09.2020/TS-e1968,91480,PRJNA833438,25325852,348177,ASM2605467v1
GCA_001983365.1,Amanita bisporigera,Ingham01,87325,PRJNA339438,75346262,13906,ASM198336v1
GCA_001691785.3,Amanita brunnescens Koide BX004,Koide BX004,1457509,PRJNA236753,36016155,12963,ASM169178v3
GCA_023014455.1,Amanita exitialis,LH00005,262245,PRJNA679796,49118549,3025964,ASM2301445v1
GCA_023014435.1,Amanita fuliginea,LH00002,67708,PRJNA679796,60225502,3461821,ASM2301443v1
GCA_001691775.3,Amanita inopinata Kibby_2008,Kibby_2008,1457513,PRJNA236757,20082689,140420,ASM169177v3
GCA_000497225.1,Amanita jacksonii TRTC168611,,1417757,PRJNA226613,30856360,25739,AmaJack1.0
GCA_023014405.1,Amanita molliuscula,LH00009,1506954,PRJNA679796,71175040,1053316,ASM2301440v1
GCA_054369615.1,Amanita muscaria,2016PMI152,41956,PRJNA697207,110261529,2171544,ASM5436961v1
GCA_023014475.1,Amanita pallidorosea,LH00007,1324310,PRJNA679796,57854386,537462,ASM2301447v1
GCA_032173475.1,Amanita phalloides,,67723,PRJNA565149,35514831,320321,ASM3217347v1
GCA_001691755.2,Amanita polypyramis BW_CC,BW_CC,1457511,PRJNA236755,19670722,64128,ASM169175v2
GCA_003316615.1,Amanita pseudoporphyria,MG37,67725,PRJNA454572,52485497,7168,ASM331661v1
GCA_023014395.1,Amanita rimosa,LH00003,580330,PRJNA679796,45347215,697900,ASM2301439v1
GCA_965266955.1,Amanita rubescens,,71933,PRJEB40665;PRJEB43510;PRJEB43745;PRJEB82201;PRJEB88951;PRJNA533106,34096625,2720495,gfAmaRube1.hap1.1
GCA_020011035.1,Amanita subjunquillea,LH00001,67733,PRJNA679796,53204488,838703,ASM2001103v1
GCA_002554575.1,Amanita thiersii Skay4041,SKay4041,703135,PRJNA82749,33689220,77057,Amanita_thiersii_v1.0
GCA_001430945.1,Amauroascus niger,UAMH 3544,89421,PRJNA284880,36718296,98932,ASM143094v1
GCA_001430935.1,Amauroascus verrucosus,UAMH 3576,2074759,PRJNA284880,30376016,217754,ASM143093v1
GCA_910591945.1,Ambispora gerdemannii,MT106,144530,PRJEB45340,87965881,10266,Ambispora_gerdemannii_MT106
GCA_910591765.1,Ambispora leptoticha,FL130A,144679,PRJEB45340,197202035,5886,Ambispora_leptoticha_FL130A
GCA_030294605.1,Ambrosiella beaveri,CBS 121753,573041,PRJNA948168,27036182,291932,ASM3029460v1
GCA_017139545.1,Ambrosiella cleistominuta,CBS 141682,1906498,PRJNA631592,27084340,108394,ASM1713954v1
GCA_050613645.1,Ambrosiella roeperi,2021000006,1535305,PRJNA1084195,27965713,2300624,ASM5061364v1
GCA_002778035.1,Ambrosiella xylebori,CBS 110.61,44383,PRJNA395605,27201902,1859748,ASM277803v1
GCA_003705185.2,Ambrosiozyma ambrosiae,NRRL Y-7524,53487,PRJNA429441,14791786,366569,ASM370518v2
GCA_030567475.1,Ambrosiozyma angophorae,NRRL Y-7118,53648,PRJNA736342,12054867,269477,ASM3056747v1
GCA_030579935.1,Ambrosiozyma cicatricosa,NRRL Y-17594T,44082,PRJNA736342,23266441,36430,ASM3057993v1
