ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCF_010015735.1_Aaoar1,1450172,Aaosphaeria arxii CBS 175.79,CBS 175.79,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria arxii
GCA_022813625.1_ASM2281362v1,3025424,Aaosphaeria pasadenensis,FJI-L9-BK-P1,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria pasadenensis
GCA_022606235.1_Abobie1,137743,Abortiporus biennis,CIRM-BRFM 1778,Basidiomycota,,Agaricomycetes,,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
GCA_047301825.1_ASM4730182v1,137743,Abortiporus biennis,LGAM 436,Basidiomycota,,Agaricomycetes,,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
GCA_977092135.1_gzAbsCyli1,213030,Absidia cylindrospora,,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia cylindrospora
GCA_900079185.1_AG_v1,4829,Absidia glauca,CBS 101.48 substr. RVII-324 met-,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
GCA_019677225.1_ASM1967722v1,2733465,Absidia healeyae,UoMAU1,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia healeyae
GCA_002105175.1_Absrep1,90262,Absidia repens,NRRL 1336,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia repens
GCA_019677255.1_ASM1967725v1,2735258,Absidia sp. UoMAU379,UoMAU379,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. UoMAU379
GCA_050656845.1_ASM5065684v1,3423207,Absidia sp. YW-2025a,CGMCC 3.27810,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. YW-2025a
GCA_050656855.1_ASM5065685v1,3423208,Absidia sp. YW-2025b,CGMCC 3.27811,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. YW-2025b
GCA_964256675.1_public_SRR14721923_metabat2_bin.2,2569847,Acanthothecis fontana,,Ascomycota,,Lecanoromycetes,,Ostropales,Graphidaceae,Acanthothecis,Acanthothecis fontana
GCF_003144295.1_Acain1,215250,Acaromyces ingoldii,MCA 4198,Basidiomycota,,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii
GCA_964256185.1_private_T1882_concoct_bin.24,2871812,Acarospora aff. strigata,,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora aff. strigata
GCA_022814355.1_ASM2281435v1,2871812,Acarospora aff. strigata,T1882,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora aff. strigata
